artist_names,Canada -Streams,USA  Stream
Olivia Rodrigo,126695919,1132906921
"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",108935806,949892895
Doja Cat,86624506,839016055
"The Kid LAROI, Justin Bieber",131623126,718549570
"Lil Nas X, Jack Harlow",106150956,668543430
Harry Styles,86109001,655373380
"Bruno Mars, Anderson .Paak, Silk Sonic",69882180,669359067
"Drake, 21 Savage, Project Pat",87733128,639753255
Kanye West,60631452,591614345
The Weeknd,93101992,540252512
"Imagine Dragons, JID, Arcane, League of Legends",93548920,517285076
"Drake, Future, Young Thug",74467209,510499974
"Elton John, Dua Lipa, PNAU",115138971,430599351
"Doja Cat, SZA",65139232,470309150
Bad Bunny,3931453,527094356
